Month,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
2008-01-01,0.043,0.049,0.058,0.039,0.196,0.345,0.037,0.012,0.025,0.002,-0.002,-0.006,0.025,0.034,0.031,0.057,0.034
2008-02-01,0.04,0.046,0.051,0.039,0.189,0.327,0.034,0.035,0.023,0.0,-0.01,-0.008,0.029,0.032,0.029,0.05,0.032
2008-03-01,0.04,0.045,0.047,0.041,0.17,0.26,0.037,0.053,0.024,0.0,-0.014,-0.011,0.036,0.033,0.029,0.048,0.03
2008-04-01,0.039,0.051,0.059,0.041,0.159,0.207,0.05,0.109,0.023,0.001,-0.007,-0.013,0.03,0.031,0.026,0.047,0.032
2008-05-01,0.042,0.051,0.058,0.043,0.174,0.208,0.058,0.165,0.023,0.001,-0.006,-0.012,0.022,0.032,0.026,0.047,0.03
2008-06-01,0.05,0.053,0.061,0.044,0.247,0.328,0.056,0.215,0.024,0.002,-0.002,-0.01,0.023,0.033,0.025,0.046,0.034
2008-07-01,0.056,0.06,0.071,0.046,0.293,0.379,0.079,0.327,0.025,0.006,0.008,-0.008,0.016,0.033,0.025,0.041,0.037
2008-08-01,0.054,0.061,0.075,0.045,0.272,0.356,0.091,0.293,0.025,0.006,0.017,-0.013,0.013,0.033,0.024,0.039,0.036
2008-09-01,0.049,0.062,0.076,0.045,0.231,0.317,0.077,0.19,0.025,0.005,0.014,-0.019,0.014,0.032,0.024,0.038,0.035
2008-10-01,0.037,0.063,0.075,0.048,0.115,0.12,0.081,0.139,0.022,0.001,0.003,-0.023,0.012,0.03,0.022,0.034,0.034
2008-11-01,0.011,0.06,0.07,0.049,-0.133,-0.294,0.081,0.075,0.02,-0.002,0.0,-0.029,0.014,0.029,0.022,0.031,0.036
2008-12-01,0.001,0.059,0.066,0.05,-0.213,-0.431,0.086,0.055,0.018,-0.006,-0.01,-0.032,0.016,0.027,0.019,0.03,0.036
2009-01-01,0.0,0.053,0.057,0.049,-0.204,-0.404,0.087,0.032,0.017,-0.005,-0.009,-0.026,0.016,0.025,0.018,0.03,0.036
2009-02-01,0.002,0.048,0.048,0.048,-0.185,-0.356,0.092,-0.033,0.018,0.0,0.008,-0.015,0.02,0.025,0.017,0.031,0.036
2009-03-01,-0.004,0.044,0.043,0.046,-0.23,-0.393,0.082,-0.114,0.018,0.004,0.014,-0.008,0.019,0.023,0.015,0.031,0.036
2009-04-01,-0.007,0.033,0.023,0.046,-0.252,-0.395,0.063,-0.21,0.019,0.009,0.009,-0.002,0.024,0.023,0.016,0.033,0.034
2009-05-01,-0.013,0.027,0.015,0.042,-0.273,-0.394,0.048,-0.294,0.018,0.012,0.008,0.004,0.033,0.021,0.015,0.032,0.034
2009-06-01,-0.014,0.021,0.008,0.038,-0.255,-0.346,0.028,-0.322,0.017,0.015,0.015,0.009,0.032,0.018,0.013,0.031,0.03
2009-07-01,-0.021,0.009,-0.009,0.032,-0.281,-0.373,0.001,-0.362,0.015,0.014,0.011,0.012,0.032,0.016,0.009,0.032,0.028
2009-08-01,-0.015,0.004,-0.016,0.03,-0.23,-0.3,-0.012,-0.327,0.014,0.011,0.006,0.005,0.037,0.016,0.009,0.032,0.028
2009-09-01,-0.013,-0.002,-0.025,0.026,-0.216,-0.297,-0.001,-0.28,0.015,0.016,0.011,0.016,0.041,0.015,0.007,0.033,0.028
2009-10-01,-0.002,-0.006,-0.028,0.022,-0.14,-0.179,-0.006,-0.24,0.017,0.023,0.014,0.038,0.043,0.015,0.007,0.032,0.027
2009-11-01,0.018,-0.007,-0.029,0.021,0.074,0.236,0.001,-0.186,0.017,0.026,0.01,0.049,0.038,0.014,0.003,0.035,0.025
2009-12-01,0.027,-0.005,-0.024,0.019,0.182,0.535,-0.005,-0.181,0.018,0.03,0.019,0.049,0.033,0.014,0.003,0.034,0.024
2010-01-01,0.026,-0.004,-0.02,0.016,0.191,0.513,-0.019,-0.122,0.016,0.029,0.017,0.041,0.035,0.01,-0.001,0.035,0.023
2010-02-01,0.021,-0.002,-0.015,0.014,0.144,0.368,-0.027,-0.084,0.013,0.025,0.0,0.035,0.035,0.009,-0.004,0.037,0.023
2010-03-01,0.023,0.002,-0.007,0.012,0.183,0.414,-0.005,-0.055,0.011,0.019,-0.004,0.03,0.037,0.008,-0.006,0.038,0.024
2010-04-01,0.022,0.005,0.0,0.011,0.185,0.383,0.006,-0.029,0.009,0.012,-0.009,0.025,0.035,0.008,-0.007,0.037,0.024
2010-05-01,0.02,0.007,0.003,0.011,0.147,0.27,0.007,0.023,0.009,0.011,-0.006,0.019,0.034,0.009,-0.007,0.034,0.022
2010-06-01,0.011,0.007,0.002,0.012,0.03,0.039,0.004,0.019,0.009,0.01,-0.004,0.013,0.033,0.009,-0.007,0.035,0.022
2010-07-01,0.012,0.009,0.007,0.011,0.052,0.074,0.013,0.031,0.009,0.01,-0.003,0.009,0.032,0.008,-0.007,0.032,0.021
2010-08-01,0.011,0.01,0.008,0.012,0.038,0.044,0.016,0.038,0.009,0.013,-0.004,0.023,0.03,0.007,-0.007,0.032,0.019
2010-09-01,0.011,0.014,0.014,0.014,0.038,0.051,0.011,0.03,0.008,0.008,-0.012,0.021,0.026,0.008,-0.004,0.037,0.016
2010-10-01,0.012,0.014,0.014,0.014,0.059,0.095,0.006,0.019,0.006,0.001,-0.012,0.004,0.025,0.008,-0.003,0.036,0.014
2010-11-01,0.011,0.015,0.017,0.013,0.039,0.073,0.003,-0.048,0.008,-0.002,-0.008,-0.004,0.027,0.011,0.002,0.034,0.016
2010-12-01,0.015,0.015,0.017,0.013,0.077,0.138,0.007,-0.028,0.008,-0.004,-0.011,-0.002,0.029,0.013,0.004,0.034,0.013
2011-01-01,0.016,0.018,0.021,0.015,0.073,0.134,0.012,-0.064,0.01,-0.002,0.0,0.001,0.027,0.014,0.006,0.03,0.012
2011-02-01,0.021,0.023,0.028,0.016,0.11,0.192,0.022,-0.059,0.011,0.0,-0.004,0.009,0.027,0.015,0.008,0.03,0.012
2011-03-01,0.027,0.029,0.036,0.019,0.155,0.275,0.01,-0.055,0.012,0.002,-0.006,0.016,0.028,0.016,0.009,0.027,0.011
2011-04-01,0.032,0.032,0.039,0.021,0.19,0.331,0.006,-0.015,0.013,0.007,0.001,0.024,0.031,0.016,0.01,0.028,0.01
2011-05-01,0.036,0.035,0.044,0.022,0.215,0.369,0.018,-0.012,0.015,0.012,0.01,0.034,0.03,0.016,0.011,0.03,0.01
2011-06-01,0.036,0.037,0.047,0.023,0.201,0.356,0.015,-0.008,0.016,0.016,0.019,0.04,0.029,0.016,0.012,0.029,0.01
2011-07-01,0.036,0.042,0.054,0.026,0.19,0.336,0.02,-0.028,0.018,0.018,0.031,0.04,0.032,0.017,0.014,0.032,0.01
2011-08-01,0.038,0.046,0.06,0.027,0.184,0.324,0.019,-0.02,0.02,0.021,0.042,0.038,0.03,0.019,0.016,0.033,0.011
2011-09-01,0.039,0.047,0.063,0.026,0.193,0.333,0.027,0.002,0.02,0.02,0.035,0.036,0.03,0.02,0.017,0.028,0.011
2011-10-01,0.035,0.047,0.062,0.027,0.142,0.235,0.029,-0.022,0.021,0.021,0.042,0.034,0.031,0.021,0.018,0.031,0.014
2011-11-01,0.034,0.046,0.059,0.029,0.124,0.197,0.027,-0.013,0.022,0.022,0.048,0.033,0.031,0.021,0.018,0.035,0.014
2011-12-01,0.03,0.047,0.06,0.029,0.066,0.099,0.022,-0.037,0.022,0.022,0.046,0.032,0.032,0.023,0.019,0.036,0.017
2012-01-01,0.029,0.044,0.053,0.031,0.061,0.097,0.024,-0.055,0.023,0.022,0.047,0.032,0.032,0.023,0.02,0.037,0.018
2012-02-01,0.029,0.039,0.045,0.031,0.07,0.126,0.019,-0.098,0.022,0.02,0.042,0.03,0.033,0.022,0.02,0.034,0.019
2012-03-01,0.027,0.033,0.036,0.03,0.046,0.09,0.006,-0.091,0.023,0.021,0.049,0.025,0.033,0.023,0.021,0.035,0.02
2012-04-01,0.023,0.031,0.033,0.029,0.009,0.032,0.006,-0.116,0.023,0.02,0.051,0.022,0.027,0.024,0.022,0.037,0.02
2012-05-01,0.017,0.028,0.027,0.029,-0.039,-0.04,0.002,-0.149,0.023,0.016,0.044,0.013,0.027,0.025,0.023,0.039,0.022
2012-06-01,0.017,0.027,0.026,0.029,-0.039,-0.043,0.005,-0.136,0.022,0.014,0.039,0.009,0.029,0.025,0.022,0.043,0.022
2012-07-01,0.014,0.023,0.019,0.029,-0.05,-0.055,-0.013,-0.127,0.021,0.011,0.03,0.008,0.034,0.025,0.021,0.044,0.021
2012-08-01,0.017,0.02,0.015,0.028,-0.006,0.018,-0.012,-0.112,0.019,0.007,0.017,0.01,0.036,0.024,0.021,0.042,0.015
2012-09-01,0.02,0.016,0.008,0.028,0.023,0.068,-0.015,-0.107,0.02,0.007,0.027,0.01,0.033,0.025,0.022,0.044,0.015
2012-10-01,0.022,0.017,0.01,0.027,0.04,0.091,-0.012,-0.084,0.02,0.007,0.03,0.01,0.03,0.025,0.023,0.039,0.015
2012-11-01,0.018,0.018,0.013,0.026,0.003,0.019,-0.007,-0.047,0.019,0.005,0.018,0.014,0.023,0.025,0.022,0.037,0.015
2012-12-01,0.017,0.018,0.013,0.025,0.005,0.017,-0.005,-0.029,0.019,0.003,0.018,0.016,0.017,0.025,0.022,0.037,0.015
2013-01-01,0.016,0.016,0.011,0.023,-0.01,-0.015,0.005,-0.025,0.019,0.004,0.021,0.017,0.015,0.025,0.022,0.036,0.016
2013-02-01,0.02,0.016,0.012,0.023,0.023,0.033,0.008,0.013,0.02,0.003,0.024,0.011,0.008,0.026,0.023,0.039,0.017
2013-03-01,0.015,0.015,0.01,0.023,-0.016,-0.031,0.009,0.018,0.019,0.0,0.008,0.011,0.006,0.025,0.022,0.039,0.018
2013-04-01,0.011,0.015,0.01,0.023,-0.043,-0.083,0.011,0.076,0.017,-0.001,0.003,0.012,0.007,0.023,0.022,0.034,0.015
2013-05-01,0.014,0.014,0.008,0.023,-0.01,-0.041,0.017,0.142,0.017,-0.002,0.002,0.011,0.0,0.023,0.023,0.029,0.013
2013-06-01,0.018,0.014,0.009,0.022,0.032,0.028,0.019,0.117,0.016,-0.002,0.008,0.012,0.001,0.023,0.023,0.028,0.012
2013-07-01,0.02,0.014,0.01,0.021,0.047,0.052,0.031,0.088,0.017,-0.002,0.016,0.012,-0.001,0.024,0.023,0.026,0.013
2013-08-01,0.015,0.014,0.01,0.02,-0.001,-0.024,0.028,0.048,0.018,0.0,0.018,0.011,0.0,0.024,0.024,0.031,0.016
2013-09-01,0.012,0.014,0.01,0.019,-0.031,-0.075,0.032,0.053,0.017,-0.001,0.008,0.012,0.002,0.024,0.024,0.031,0.015
2013-10-01,0.01,0.013,0.008,0.019,-0.048,-0.101,0.03,0.044,0.017,-0.001,-0.002,0.01,0.005,0.023,0.023,0.029,0.016
2013-11-01,0.012,0.012,0.006,0.021,-0.024,-0.058,0.029,0.01,0.017,-0.002,-0.001,0.006,0.008,0.024,0.024,0.026,0.016
2013-12-01,0.015,0.011,0.004,0.021,0.005,-0.01,0.032,-0.001,0.017,-0.001,0.006,0.004,0.003,0.023,0.025,0.025,0.016
2014-01-01,0.016,0.011,0.005,0.02,0.021,0.001,0.044,0.049,0.016,-0.003,-0.003,0.0,0.008,0.023,0.026,0.025,0.013
2014-02-01,0.011,0.014,0.009,0.022,-0.025,-0.081,0.038,0.083,0.016,-0.004,-0.006,0.003,0.017,0.022,0.026,0.024,0.011
2014-03-01,0.015,0.017,0.014,0.023,0.004,-0.047,0.053,0.164,0.017,-0.003,0.005,0.002,0.013,0.023,0.027,0.024,0.011
2014-04-01,0.02,0.019,0.017,0.022,0.033,0.024,0.021,0.118,0.018,-0.003,0.006,0.004,0.016,0.026,0.028,0.027,0.015
2014-05-01,0.021,0.025,0.027,0.022,0.033,0.023,0.036,0.073,0.02,-0.002,0.008,0.005,0.025,0.027,0.029,0.03,0.015
2014-06-01,0.021,0.023,0.024,0.022,0.032,0.02,0.042,0.051,0.019,-0.002,0.009,0.0,0.028,0.027,0.028,0.026,0.016
2014-07-01,0.02,0.025,0.027,0.024,0.026,0.008,0.04,0.069,0.019,-0.003,0.003,0.002,0.03,0.026,0.029,0.025,0.016
2014-08-01,0.017,0.027,0.029,0.025,0.004,-0.028,0.041,0.058,0.017,-0.004,0.0,0.004,0.026,0.025,0.029,0.019,0.015
2014-09-01,0.017,0.03,0.032,0.027,-0.006,-0.036,0.028,0.058,0.017,-0.003,0.005,0.003,0.029,0.024,0.03,0.017,0.013
2014-10-01,0.017,0.031,0.033,0.028,-0.016,-0.05,0.031,0.034,0.018,-0.002,0.007,0.006,0.026,0.025,0.03,0.019,0.008
2014-11-01,0.013,0.032,0.034,0.029,-0.048,-0.105,0.028,0.032,0.017,-0.005,-0.003,0.006,0.031,0.025,0.03,0.023,0.006
2014-12-01,0.008,0.034,0.037,0.03,-0.106,-0.21,0.031,0.058,0.016,-0.008,-0.02,0.005,0.048,0.024,0.029,0.024,0.004
2015-01-01,-0.001,0.032,0.033,0.031,-0.196,-0.354,0.025,-0.004,0.016,-0.008,-0.014,0.005,0.039,0.025,0.029,0.023,0.004
2015-02-01,0.0,0.03,0.029,0.031,-0.188,-0.328,0.032,-0.065,0.017,-0.005,-0.008,0.006,0.039,0.025,0.03,0.018,0.004
2015-03-01,-0.001,0.023,0.019,0.029,-0.183,-0.292,0.009,-0.144,0.018,-0.002,-0.005,0.008,0.042,0.024,0.03,0.019,0.003
2015-04-01,-0.002,0.02,0.013,0.029,-0.194,-0.317,0.038,-0.163,0.018,-0.002,-0.008,0.008,0.041,0.025,0.03,0.026,0.003
